uid,gpa all, gpa 13s, cs 65,days online,views,contributions,questions,notes,answers
u01,2.863,1.7777777780000001,3.0,29,299,5,1,1,0
u02,3.505,4.0,4.0,57,299,0,0,0,0
u04,3.029,3.5,4.0,27,101,1,1,0,0
u05,3.679,3.777777778,4.0,67,301,1,0,0,0
u07,3.4739999999999998,4.0,4.0,43,201,12,1,0,0
u08,3.705,3.333333333,4.0,67,308,45,22,0,5
u09,3.806,3.777777778,3.666666667,36,171,20,4,3,4
u10,3.667,3.777777778,4.0,82,300,26,11,0,3
u12,3.245,2.583333333,2.333333333,44,127,6,1,1,0
u14,3.293,3.888888889,3.666666667,35,259,16,13,1,0
u15,2.815,3.333333333,3.666666667,38,187,5,1,0,0
u16,3.373,4.0,4.0,41,201,3,0,0,0
u17,3.4760000000000004,3.333333333,4.0,57,306,26,11,2,4
u18,3.4739999999999998,3.333333333,3.333333333,48,278,6,3,1,0
u19,3.947,3.777777778,3.333333333,70,301,20,4,0,6
u22,3.889,3.916666667,4.0,64,226,14,4,0,1
u24,2.987,3.222222222,3.333333333,27,149,4,0,0,0
u25,2.765,3.333333333,3.666666667,22,152,1,0,0,0
u27,3.719,3.333333333,3.0,66,299,7,1,0,1
u30,3.93,3.916666667,4.0,58,294,23,8,0,1
u32,3.826,3.888888889,4.0,51,299,5,2,0,0
u33,2.815,2.777777778,4.0,39,290,28,2,4,1
u41,3.6519999999999997,3.777777778,4.0,72,236,27,15,0,2
u43,3.79,4.0,4.0,43,257,27,13,0,0
u46,3.6460000000000004,1.111111111,4.0,68,302,14,7,0,1
u49,3.625,3.777777778,4.0,60,244,10,3,1,1
u52,2.4,1.0,0.0,42,208,0,0,0,0
u54,3.343,3.4444444439999997,4.0,33,147,3,1,0,0
u57,3.389,2.666666667,4.0,50,299,17,3,1,3
u59,3.5189999999999997,3.5555555560000003,3.666666667,56,302,10,2,0,1
